Note,,Throt,Dyno
Type,Time into Stage,Setpoint,Setpoint
Channel,,2,1
Option,,Ramp,Ramp
Mode,,L,D,
Data,0.0000,1.0000,1050.0000
Data,170.0000,1.0000,1050.0000
Data,190.0000,117.5000,1413.0000
Data,363.0000,117.5000,1413.0000
Data,383.0000,61.3000,1775.0000
Data,602.0000,61.3000,1775.0000
Data,622.0000,91.9000,1775.0000
Data,839.0000,91.9000,1775.0000
Data,859.0000,58.7000,1413.0000
Data,962.0000,58.7000,1413.0000
Mode,,L,S,
Data,982.0000,88.1000,1413.0000
Data,1082.0000,88.1000,1413.0000
Data,1102.0000,29.4000,1413.0000
Data,1205.0000,29.4000,1413.0000
Data,1225.0000,122.5000,1775.0000
Data,1419.0000,122.5000,1775.0000
Data,1439.0000,30.6000,1775.0000
Data,1657.0000,30.6000,1775.0000
Data,1677.0000,115.5000,2138.0000
Data,1848.0000,115.5000,2138.0000
Data,1868.0000,28.9000,2138.0000
Data,1970.0000,28.9000,2138.0000
Data,1990.0000,86.6000,2138.0000
Data,2090.0000,86.6000,2138.0000
Data,2110.0000,57.7000,2138.0000
Data,2212.0000,57.7000,2138.0000
Data,2232.0000,1.0000,1050.0000
Data,2400.0000,1.0000,1050.0000
